Age_cat,Positivity_Pct,RR,Lower_CI,Upper_CI,P_value
0-14,46.2,2.0546958637469586,1.802312653844591,2.34242104636685,1.9483515327933472e-22
15-24,26.9,1.195157850470097,1.0599705993842825,1.3475867051124208,0.003728907905972267
35-44,26.9,1.1973055971358466,1.074802920123736,1.3337707463316073,0.0010595098616741393
45-54,33.3,1.4794634050108502,1.3372281720141659,1.6368275905146814,4.432264993420949e-15
55-64,44.6,1.9811138571182252,1.800624667898938,2.1796947386295256,1.704776070641217e-52
65-74,49.9,2.219360768479742,2.017096899364233,2.4419065946804417,3.4269237069667443e-71
75-84,46.4,2.0622967406229673,1.8358999743051039,2.3166119646545114,4.303117428686469e-31
85+,37.1,1.6497855369102263,1.2560552178346882,2.1669368345845954,0.0018268799908732654
