"distance_km"
4.435
30.821
40.326
307.936
0
15.88
140.28
140.28
5.791
90.882
42.708
87.865
33.66
46.876
43.686
75.275
6.227
5.156
40.955
9.845
19.329
18.765
8.625
42.396
10.545
2.59
32.187
152.885
12.449
8.232
104.858
16.804
12.365
4.832
15.995
6.821
15.34
15.34
32.238
11.662
332.322
17.087
11.043
12.365
48.899
350.363
428.306
7.125
9.204
77.572
27.459
243.989
26.062
83.859
26.956
18.765
81.199
0
305.794
9.204
7.819
9.969
90.807
74.398
26.481
5.013
25.054
81.199
0
11.08
4.832
17.79
61.055
378.538
0
6.822
84.627
291.407
243.989
169.124
77.639
12.292
21.699
26.072
8.8
5.301
6.03
13.921
138.982
79.807
335.138
4.435
130.762
302.562
422.152
32.187
114.328
7.242
6.822
29.414
51.652
305.794
302.438
418.881
15.34
9.759
40.136
27.433
31.302
123.667
43.709
352.257
55.017
0
49.159
25.69
88.127
10.559
51.681
24.743
1643.196
57.476
54.337
33.642
76.947
11.043
37.573
243.989
113.096
138.493
11.681
15.546
4.311
676.384
23.378
821.872
0
157.47
28.219
2.137
9.234
7.125
40.068
48.441
5.13
6.256
25.69
7.819
22.658
46.514
40.136
101.121
27.675
5.13
5.13
59.917
1134.688
290.385
3.638
23.232
271.581
38.469
557.276
46.008
33.642
31.302
243.989
0
7.125
0
8.171
28.219
3.006
46.008
56.735
16.915
0
387.957
28.071
32.187
19.329
178.721
812.4
805.078
145.23
8.62
25.115
28.071
40.136
3.006
6.821
8.8
1981.927
0
723.857
0
107.4
12.341
59.329
27.433
25.665
34.159
28.071
0
553.832
8.8
86.481
77.802
126.328
12.25
19.417
23.045
17.906
18.161
0
1598.351
0
305.794
0
0
16.915
0
6.446
7.497
73.114
0
38.177
319.966
85.158
6.194
10.992
7.555
86.14
0
305.049
14.547
12.341
56.691
425.484
524.614
27.433
12.25
8.171
10.697
20.896
34.159
96.25
28.219
57.501
34.645
1.624
0
11.932
12.245
0
46.008
121.084
243.989
19.329
5.13
445.917
102.73
6.004
1643.196
5.791
250.38
125.036
2.512
47.92
250.38
302.562
7.537
209.669
25.115
31.212
13.495
30.821
19.237
1390.96
130.951
70.505
88.698
2.137
94.948
33.936
21.699
5.13
0
19.942
33.642
27.433
152.865
5.791
33.642
46.008
12.834
73.074
18.311
407.282
246.08
12.016
119.053
11.058
1327.498
8.8
76.947
88.127
6.91
15.546
11.043
19.309
25.054
185.979
33.66
15.45
915.873
7.635
16.391
86.432
34.159
86.432
69.8
56.691
819.535
30.721
21.801
15.546
113.708
311.107
12.273
105.733
2.182
27.675
1275.522
152.865
305.794
18.447
40.068
0
15.916
33.01
2.721
1088.052
46.008
2.137
19.948
14.561
3.603
101.121
24.687
79.081
28.071
2.137
727.644
15.365
27.675
74.919
99.795
34.938
175.235
24.676
15.884
31.302
2664.025
88.127
9.234
11.204
139.896
0
317.609
5.791
28.071
35.968
17.906
56.691
2.165
76.947
5.13
17.669
49.655
141.629
16.385
18.787
24.553
75.061
140.28
59.131
7.125
57.366
79.47
88.127
88.127
83.281
11.373
126.328
12.016
305.794
0
31.377
0
5.265
52.719
25.054
6.009
111.995
422.152
26.062
37.573
132.845
66.828
5.791
75.719
66.684
250.38
40.609
171.235
0
1405.832
19.469
37.969
95.813
0
5.405
29.799
107.612
0
13.495
12.016
302.919
25.69
0
32.187
53.489
0
15.231
323.257
42.276
7.296
62.209
20.688
18.841
6.446
434.145
3.974
65.171
112.296
12.449
20.04
110.127
340.864
59.131
8.737
29.769
33.936
0
117.109
11.08
24.366
8.625
18.262
11.373
28.071
305.794
407.282
3.433
0
243.989
302.438
590.728
128.665
0
123.059
0
0
25.054
0
155.466
225.238
1.155
41.868
570.452
32.465
62.616
218.48
265.621
13.188
85.909
19.329
233.486
0
19.237
0
28.656
56.691
4.832
0
20.261
21.74
28.192
114.328
3.576
305.794
4.842
0
87.254
21.877
27.675
109.269
15.995
4.838
0
22.712
14.27
20.712
46.008
225.238
7.125
0
5.156
37.573
34.159
250.29
305.049
46.008
3.797
187.196
3.797
28.071
79.289
188.533
88.127
335.138
45.475
817.154
79.074
0
3.797
27.675
46.008
34.682
47.005
26.23
8.8
33.827
4.054
14.928
1103.536
38.481
401.447
0
20.261
5.265
19.014
85.476
1.502
29.305
6.803
0
0
74.091
29.663
6.257
22.914
98.144
7.951
1401.694
305.794
225.238
10.349
471.102
0
11.08
20.896
0
8.8
0
0
34.159
0
14.928
1542.178
8.548
21.559
85.158
6.22
29.305
0
10.033
28.071
45.475
117.109
82.553
29.305
6.98
4.832
9.35
499.432
258.12
10.349
6.009
58.817
74.557
105.996
0
117.109
22.698
163.714
0
29.305
30.721
0
0
51.652
0
74.205
0
129.629
74.557
0
0
24.743
97.078
34.159
15.134
8.028
8.467
134.671
156.455
629.214
1.991
54.337
31.273
10.349
15.451
236.311
15.995
70.903
51.701
117.109
28.071
7.289
184.001
60.792
15.995
51.701
45.149
81.228
56.691
305.794
0
966.687
15.995
20.896
40.369
0
0
0
12.016
31.302
29.305
29.305
48.704
29.305
157.622
0
0
0
10.005
160.45
84.261
1.832
0
13.977
77.605
9.264
7.876
34.938
0
0
37.969
140.88
0
40.296
323.257
116.741
0
0
0
105.272
10.349
10.545
8.933
36.531
76.41
11.08
10.268
323.507
102.536
24.553
5.148
90.062
0
0
0
126.328
31.302
0
70.903
0
11.681
27.675
106.366
0
0
0
0
8.283
0
0
15.995
70.903
0
5.901
25.054
0
142.165
10.491
0
0
11.56
55.084
69.882
21.031
70.903
0
81.228
0
19.237
312.088
166.312
7.076
74.557
0
7.827
21.438
29.492
263.159
1289.98
8.625
689.795
0
32.71
0
143.461
4.168
6.322
74.557
218.48
76.41
14.541
0
22.698
74.557
225.238
81.046
18.562
10.301
15.35
0
145.006
15.88
11.08
69.568
25.69
79.47
21.198
117.109
31.273
156.436
0
12.121
0
150.802
350.192
15.265
1.567
772.716
383.821
0
263.641
193.914
6.162
4.548
88.127
8.232
13.672
444.592
32.187
0
8.625
0
1103.536
0
27.675
57.058
57.058
0
36.782
243.989
291.407
1.145
1.966
60.167
0
78.811
7.125
0
0
0
0
3.011
29.27
335.138
0
69.384
249.882
418.191
34.435
1.787
119.053
2008.366
0
0
138.612
66.322
0
0
13.936
90.807
5.518
5.13
51.681
71.796
22.698
0
0
0
25.233
22.028
24.123
22.698
82.158
0
59.49
29.492
99.182
10.545
0
45.348
27.675
62.616
0
0
0
72.104
36.085
0
0
33.01
262.354
0
0
11.681
112.194
0
24.123
127.186
0
8.43
29.305
147.855
11.08
163.018
0
196.031
0
3.529
12.245
19.742
10.349
190.565
20.456
0
9.919
340.864
14.012
1143.701
34.938
11.528
0
0
88.401
102.901
23.213
18.498
17.15
70.903
1643.196
350.192
299.023
0
0
39.106
15.134
0
76.41
50.833
42.568
520.969
29.492
593.305
15.995
2.43
0
55.291
32.534
27.433
170.831
291.407
7.125
375.706
3562.124
25.233
24.899
2.36
0
524.614
24.47
1056.16
605.712
5.791
0
109.04
6.147
0
0
47.241
0
0
62.209
0
5.13
0
0
15.847
56.26
7.486
25.233
8.925
0
23.821
0
8.8
32.848
0
305.794
4.258
163.533
15.995
0
2.411
0
32.134
246.395
22.698
11.365
34.938
7.08
16.113
863.909
0
0
30.267
67.903
0
122.879
0
0
75.184
0
570.452
27.991
7.93
19.89
2.873
14.209
24.143
7.35
0
33.01
14.921
0
0
35.389
0
