SA3_code
12203
12202
10402
11201
12103
11202
31606
10201
11401
12102
10104
12104
12101
11102
10202
10802
12602
30904
11703
12201
31002
11801
30404
30605
12401
30402
10804
11501
11502
11203
12003
31401
31608
30602
30907
30502
30703
12002
30102
30803
31701
31202
31301
31403
31905
10601
30503
10401
12502
11103
