"individual_slope","annual_pct_change"
-0.09478193196277,-19.6070309796387
-0.101476567694006,-20.8367834110681
-0.171682145496349,-32.6530620534621
-0.153083347521348,-29.706259712514
-0.104423172922612,-21.3720727656362
-0.0446646203771026,-9.77323640930373
-0.154233419238106,-29.8921609819452
0.000841714013753492,0.193999750554408
-0.152572231202614,-29.6234830958305
-0.0479595457276827,-10.4551827871211
-0.0211546185780002,-4.75429924073981
-0.107879976669115,-21.9954342777414
-0.164478845085651,-31.5267163706576
-0.158662491160193,-30.6035093642952
-0.055090596885693,-11.9134900819207
-0.0555985214162167,-12.016450510612
-0.118070007602503,-23.8043826038107
-0.191835174649539,-35.7068320724115
-0.096096600346497,-19.8500234448912
-0.162054035572276,-31.1433381479435
0.016089841615252,3.77430694107055
0.132013389160794,35.5231193053778
-0.158923664812479,-30.6452301020557
-0.104926542968276,-21.4631538564534
-0.123093569751244,-24.6806730982019
0.0107615440853228,2.50889312157525
-0.0908561582365057,-18.8770300951317
-0.121956921087144,-24.483286886012
-0.116013830151494,-23.4427773201563
-0.0191930440272746,-4.323130720908
0.0117976533922611,2.75374360467759
-0.11968589733635,-24.0873586723447
-0.0457268395164316,-9.99364787846657
-0.0639051152963845,-13.6832887992061
-0.172037118190366,-32.7080859086548
-0.135172925069599,-26.7467200956124
-0.0215859394606439,-4.84884584009598
-0.0568967426738438,-12.2790639421057
-0.13700625616332,-27.0552997759323
-0.0343182020790891,-7.59790925866054
-0.0936520677281176,-19.3976076439238
-0.17655127860213,-33.4039115573111
-0.0501162883126056,-10.8987674599012
-0.120722470438074,-24.2683307377444
0.173118707525226,48.9768226638178
-0.229600021168035,-41.0613778486812
-0.236004160733597,-41.9241146432524
-0.0299406786017308,-6.66182148955663
-0.0966015651575126,-19.9431616244925
-0.0786055216289186,-16.5561222056276
-0.0461108023441025,-10.0731879657572
-0.0486815385837565,-10.603922896637
-0.152622882921681,-29.6316906228541
-0.120140382396131,-24.1667589790382
-0.144035610724467,-28.2264563095566
-0.107938228179656,-22.0058962551599
-0.200689881294632,-37.0044142167415
-0.126768827402278,-25.3153805196273
