Age_cat,Sex,count
0-14,F,201
0-14,M,249
15-24,F,1005
15-24,M,453
25-34,F,1220
25-34,M,607
35-44,F,1567
35-44,M,798
45-54,F,1673
45-54,M,917
55-64,F,1676
55-64,M,864
65-74,F,1312
65-74,M,729
75-84,F,413
75-84,M,294
85+,F,53
85+,M,44
