Age_cat,Male_Positivity,Female_Positivity,RR,Lower_CI,Upper_CI,P_value
0-14,46.6,45.8,1.0178103719224725,0.832623276256901,1.2441856752432767,0.9242683794348607
15-24,39.7,21.1,1.8836686242659002,1.597469754044095,2.2211422013226105,3.5889426672001213e-13
25-34,30.5,18.5,1.645259582160925,1.3905745135767154,1.946590467654942,1.4303685526693546e-8
35-44,32.3,24.2,1.3367389449877993,1.1699570678839102,1.5272962197484654,3.0319480870949402e-5
45-54,38.3,30.5,1.2531781718229487,1.123271530019582,1.3981085502150403,7.231065452016618e-5
55-64,50.6,41.5,1.2197108979483082,1.118012765456546,1.3306598283485258,1.405542642674226e-5
65-74,53.9,47.7,1.1298597141692635,1.0348591234026503,1.2335814072017874,0.007412110819197553
75-84,49.7,44.1,1.1268969126111983,0.9619368338698723,1.3201455718707182,0.14672872969943532
85+,29.5,43.4,0.6808300395256918,0.39272246045444587,1.1802980206025735,0.20631285287580917
