"measure","cum_denom","cum_event"
"α-Gal sensitised individuals (denominator: population)",0.186036394133709,0.902051488334674
"α-Gal sensitised individuals (denominator: population)",0.188502203081911,0.903660498793242
"α-Gal sensitised individuals (denominator: population)",0.190047797194819,0.904666130329847
"α-Gal sensitised individuals (denominator: population)",0.191944181663759,0.905872888173773
"α-Gal sensitised individuals (denominator: population)",0.196162018259057,0.908487530168946
"α-Gal sensitised individuals (denominator: population)",0.198179918577031,0.909694288012872
"α-Gal sensitised individuals (denominator: population)",0.203985845961892,0.913113435237329
"α-Gal sensitised individuals (denominator: population)",0.205056989938701,0.913716814159292
"α-Gal sensitised individuals (denominator: population)",0.207575986392762,0.915124698310539
"α-Gal sensitised individuals (denominator: population)",0.21048085800365,0.916733708769107
"α-Gal sensitised individuals (denominator: population)",0.219588597722956,0.921761866452132
"α-Gal sensitised individuals (denominator: population)",0.224397420618197,0.924376508447305
"α-Gal sensitised individuals (denominator: population)",0.227041384830417,0.925784392598552
"α-Gal sensitised individuals (denominator: population)",0.230874020075785,0.927795655671762
"α-Gal sensitised individuals (denominator: population)",0.234003190111726,0.92940466613033
"α-Gal sensitised individuals (denominator: population)",0.235199990066573,0.930008045052293
"α-Gal sensitised individuals (denominator: population)",0.236798659984731,0.930812550281577
"α-Gal sensitised individuals (denominator: population)",0.242869919553654,0.933829444891392
"α-Gal sensitised individuals (denominator: population)",0.244967134510132,0.934835076427997
"α-Gal sensitised individuals (denominator: population)",0.247517796285071,0.936041834271923
"α-Gal sensitised individuals (denominator: population)",0.251420366921077,0.937851971037812
"α-Gal sensitised individuals (denominator: population)",0.258404825806432,0.941069991954948
"α-Gal sensitised individuals (denominator: population)",0.259723923514572,0.941673370876911
"α-Gal sensitised individuals (denominator: population)",0.261617108301566,0.942477876106195
"α-Gal sensitised individuals (denominator: population)",0.267981819781921,0.945092518101368
"α-Gal sensitised individuals (denominator: population)",0.26947161403603,0.945695897023331
"α-Gal sensitised individuals (denominator: population)",0.271958574034933,0.946701528559936
"α-Gal sensitised individuals (denominator: population)",0.27564861804872,0.948109412711183
"α-Gal sensitised individuals (denominator: population)",0.278936514649297,0.949316170555109
"α-Gal sensitised individuals (denominator: population)",0.279519555793056,0.94951729686243
"α-Gal sensitised individuals (denominator: population)",0.280701737381175,0.949919549477072
"α-Gal sensitised individuals (denominator: population)",0.283097225391477,0.950724054706356
"α-Gal sensitised individuals (denominator: population)",0.285537242308858,0.95152855993564
"α-Gal sensitised individuals (denominator: population)",0.288657497915595,0.952534191472245
"α-Gal sensitised individuals (denominator: population)",0.290544034714762,0.953137570394208
"α-Gal sensitised individuals (denominator: population)",0.292466676033183,0.953740949316171
"α-Gal sensitised individuals (denominator: population)",0.295676576783085,0.954746580852776
"α-Gal sensitised individuals (denominator: population)",0.299625492361869,0.955953338696702
"α-Gal sensitised individuals (denominator: population)",0.302930637698341,0.956958970233307
"α-Gal sensitised individuals (denominator: population)",0.307569751336862,0.958366854384553
"α-Gal sensitised individuals (denominator: population)",0.30956169747797,0.958970233306517
"α-Gal sensitised individuals (denominator: population)",0.312910629452963,0.959975864843121
"α-Gal sensitised individuals (denominator: population)",0.317728226250836,0.961383748994369
"α-Gal sensitised individuals (denominator: population)",0.321205513034697,0.962389380530973
"α-Gal sensitised individuals (denominator: population)",0.321906949616943,0.962590506838295
"α-Gal sensitised individuals (denominator: population)",0.323319277697456,0.962992759452936
"α-Gal sensitised individuals (denominator: population)",0.324027380283756,0.963193885760257
"α-Gal sensitised individuals (denominator: population)",0.326153450029673,0.96379726468222
"α-Gal sensitised individuals (denominator: population)",0.327575204200243,0.964199517296862
"α-Gal sensitised individuals (denominator: population)",0.331216424238392,0.965205148833467
"α-Gal sensitised individuals (denominator: population)",0.332726461525352,0.965607401448109
"α-Gal sensitised individuals (denominator: population)",0.334995807119483,0.966210780370072
"α-Gal sensitised individuals (denominator: population)",0.337288047735104,0.966814159292035
"α-Gal sensitised individuals (denominator: population)",0.338844646159569,0.967216411906677
"α-Gal sensitised individuals (denominator: population)",0.341983530545202,0.968020917135961
"α-Gal sensitised individuals (denominator: population)",0.342817206234894,0.968222043443282
"α-Gal sensitised individuals (denominator: population)",0.344503921455245,0.968624296057924
"α-Gal sensitised individuals (denominator: population)",0.34716201759606,0.969227674979887
"α-Gal sensitised individuals (denominator: population)",0.348940911041117,0.969629927594529
"α-Gal sensitised individuals (denominator: population)",0.350735352490223,0.970032180209171
"α-Gal sensitised individuals (denominator: population)",0.355273892342175,0.971037811745776
"α-Gal sensitised individuals (denominator: population)",0.361730980225735,0.972445695897023
"α-Gal sensitised individuals (denominator: population)",0.365426331820047,0.973250201126307
"α-Gal sensitised individuals (denominator: population)",0.366356095255742,0.973451327433628
