Year,total_tests,positive_tests,pos_prop
2014,609,357,58.620689655172406
2015,800,297,37.125
2016,792,368,46.464646464646464
2017,1169,421,36.0136869118905
2018,1239,408,32.92978208232446
2019,1277,372,29.130775254502737
2020,1230,356,28.943089430894307
2021,1484,500,33.692722371967655
2022,1386,459,33.116883116883116
2023,1934,700,36.19441571871768
2024,2155,787,36.519721577726216
