"SA_code","SA_name","State","cases","tested","person_years","case_rate_1M","test_rate_1M","positivity","positivity_eb","positivity_mapped","expected","spr","spr_lo","spr_hi","is_top30"
12202,"Pittwater","NSW",492,942,698858,704.00567783441,1347.91331000003,0.522292993630573,0.521154443857804,0.521154443857804,335.791798107256,1.46519361929993,1.33856950109051,1.60056778911754,TRUE
30904,"Gold Coast Hinterland","QLD",96,141,218175,440.013750429701,646.270195943623,0.680851063829787,0.666530068257782,0.666530068257782,50.2618296529968,1.90999811711542,1.54710460705161,2.3324346090998,TRUE
10402,"Coffs Harbour","NSW",431,716,999117,431.38090934295,716.632786750701,0.60195530726257,0.599742580314583,0.599742580314583,255.230283911672,1.68867108320562,1.53298957460295,1.85587620974937,TRUE
31606,"Sunshine Coast Hinterland","QLD",251,430,623212,402.752193475094,689.973877268089,0.583720930232558,0.580330481766028,0.580330481766028,153.280757097792,1.63751800782054,1.44118584498212,1.85313230071245,TRUE
11202,"Richmond Valley: Hinterland","NSW",303,564,788874,384.091756097932,714.943070756547,0.537234042553192,0.535170580157502,0.535170580157502,201.047318611987,1.50710788928639,1.34217115926393,1.68671840336002,TRUE
11201,"Richmond Valley: Coastal","NSW",258,593,937084,275.322169624068,632.81413405842,0.435075885328836,0.43422196717477,0.43422196717477,211.384858044164,1.22052261636497,1.07612203211218,1.37890126385966,TRUE
12203,"Warringah","NSW",455,1143,1739254,261.606412864366,657.178307481253,0.398075240594926,0.397839513730005,0.397839513730005,407.441640378549,1.11672434750966,1.01645870140673,1.224205585308,TRUE
12103,"Ku-ring-gai","NSW",290,579,1374082,211.049995560672,421.372232515963,0.500863557858377,0.499257492508531,0.499257492508531,206.394321766562,1.40507741452306,1.24799957007952,1.57645483252767,TRUE
10104,"South Coast","NSW",163,225,820247,198.720629273865,274.307617095826,0.724444444444444,0.714093280952049,0.714093280952049,80.205047318612,2.03229105211406,1.73227304682104,2.36934105034102,TRUE
11401,"Shoalhaven","NSW",213,370,1159098,183.763581681618,319.213733437552,0.575675675675676,0.57188409072564,0.57188409072564,131.892744479495,1.61494857689548,1.40533789268259,1.84700752389581,TRUE
31608,"Noosa Hinterland","QLD",42,71,261971,160.323089196896,271.022365070943,0.591549295774648,0.571798209348073,0.571798209348073,25.3091482649842,1.65947899788109,1.1960064959735,2.24313351773421,TRUE
12102,"Hornsby","NSW",152,291,950708,159.880846695305,306.087673607459,0.52233676975945,0.518705950920097,0.518705950920097,103.731861198738,1.4653164249004,1.24162984280418,1.71766163542776,TRUE
