"Year","fit","lower","upper"
2015,37.456,30.7313590426246,44.1806409573754
2015.1,37.4016666666667,30.7828572711214,44.0204760622121
2015.2,37.3473333333333,30.8336390270706,43.861027639596
2015.3,37.293,30.8836690592344,43.7023309407657
2015.4,37.2386666666666,30.9329100433103,43.544423290023
2015.5,37.1843333333334,30.981322453955,43.3873442127117
2015.6,37.1300000000001,31.0288644304275,43.2311355695727
2015.7,37.0756666666667,31.0754916359819,43.0758416973514
2015.8,37.0213333333334,31.1211571112755,42.9215095553913
2015.9,36.967,31.1658111222135,42.7681888777865
2016,36.9126666666667,31.2094010028469,42.6159323304865
2016.1,36.8583333333334,31.2518709941758,42.464795672491
2016.2,36.804,31.2931620799909,42.3148379200091
2016.3,36.7496666666667,31.33321182122,42.1661215121135
2016.4,36.6953333333333,31.3719541906413,42.0187124760253
2016.5,36.641,31.4093194102784,41.8726805897216
2016.6,36.5866666666667,31.4452337943222,41.7280995390112
2016.7,36.5323333333333,31.4796196010196,41.585047065647
2016.8,36.478,31.5123948976451,41.443605102355
2016.9,36.4236666666666,31.5434734434133,41.30385988992
2017,36.3693333333333,31.5727645959985,41.1659020706681
2017.1,36.3150000000001,31.6001732481882,41.0298267518119
2017.2,36.2606666666667,31.6255998020835,40.8957335312498
2017.3,36.2063333333334,31.6489401891502,40.7637264775165
2017.4,36.152,31.6700859452605,40.6339140547394
2017.5,36.0976666666667,31.6889243506054,40.5064089827279
2017.6,36.0433333333334,31.7053386449179,40.3813280217489
2017.7,35.989,31.7192083287418,40.2587916712582
2017.8,35.9346666666667,31.7304095614095,40.1389237719239
2017.9,35.8803333333333,31.7388156658353,40.0218510008312
2018,35.826,31.7442977490727,39.9077022509273
2018.1,35.7716666666667,31.7467254457064,39.796607887627
2018.2,35.7173333333333,31.7459677884509,39.6886988782157
2018.3,35.663,31.7418942067438,39.5841057932562
2018.4,35.6086666666666,31.7343756496329,39.4829576837004
2018.5,35.5543333333333,31.7232858239223,39.3853808427443
2018.6,35.5,31.7085025325086,39.2914974674915
2018.7,35.4456666666666,31.6899090913489,39.2014242419844
2018.8,35.3913333333334,31.6673957969274,39.1152708697393
2018.9,35.337,31.6408614098652,39.0331385901347
2019,35.2826666666667,31.6102146149922,38.9551187183411
2019.1,35.2283333333334,31.5753754143113,38.8812912523554
2019.2,35.174,31.5362764073699,38.8117235926301
2019.3,35.1196666666667,31.4928639140286,38.7464694193048
2019.4,35.0653333333333,31.4450988977418,38.6855677689248
2019.5,35.011,31.3929576532778,38.6290423467222
2019.6,34.9566666666667,31.3364322310753,38.5769011022582
2019.7,34.9023333333333,31.2755305806953,38.5291360859713
2019.8,34.848,31.21027640737,38.48572359263
2019.9,34.7936666666666,31.1407087476447,38.4466245856886
2020,34.7393333333333,31.066881281659,38.4117853850076
2020.1,34.685,30.9888614098654,38.3811385901347
2020.2,34.6306666666666,30.9067291302609,38.3546042030724
2020.3,34.5763333333334,30.8205757580158,38.3320909086509
2020.4,34.5219999999999,30.7305025325088,38.3134974674911
2020.5,34.4676666666667,30.6366191572559,38.2987141760774
2020.6,34.4133333333334,30.5390423162999,38.2876243503669
2020.7,34.359,30.437894206744,38.2801057932559
2020.8,34.3046666666667,30.3333011217846,38.2760322115488
2020.9,34.2503333333333,30.2253921123733,38.2752745542933
2021,34.196,30.1142977490731,38.2777022509269
2021.1,34.1416666666667,30.0001489991691,38.2831843341643
2021.2,34.0873333333333,29.8830762280765,38.2915904385901
2021.3,34.033,29.7632083287422,38.3027916712578
2021.4,33.9786666666666,29.6406719782515,38.3166613550817
2021.5,33.9243333333333,29.5155910172725,38.3330756493941
2021.6,33.87,29.3880859452611,38.351914054739
2021.7,33.8156666666666,29.2582735224839,38.3730598108493
2021.8,33.7613333333333,29.1262664687507,38.396400197916
2021.9,33.7069999999999,28.9921732481885,38.4218267518113
2022,33.6526666666667,28.8560979293323,38.449235404001
2022.1,33.5983333333334,28.7181401100805,38.4785265565862
2022.2,33.544,28.5783948976455,38.5096051023544
2022.3,33.4896666666667,28.4369529343535,38.5423803989798
2022.4,33.4353333333333,28.2939004609893,38.5767662056773
2022.5,33.381,28.1493194102789,38.612680589721
2022.6,33.3266666666667,28.0032875239752,38.6500458093582
2022.7,33.2723333333333,27.8558784878871,38.6887881787795
2022.8,33.218,27.7071620799915,38.7288379200085
2022.9,33.1636666666666,27.5572043275096,38.7701290058236
2023,33.1093333333333,27.4060676695141,38.8125989971526
2023.1,33.055,27.2538111222141,38.8561888777859
2023.2,33.0006666666666,27.1004904446093,38.900842888724
2023.3,32.9463333333333,26.9461583026492,38.9465083640175
2023.4,32.8919999999999,26.7908644304279,38.9931355695719
2023.5,32.8376666666666,26.6346557872889,39.0406775460444
2023.6,32.7833333333334,26.4775767099776,39.0890899566891
2023.7,32.729,26.3196690592349,39.138330940765
2023.8,32.6746666666667,26.1609723604046,39.1883609729288
2023.9,32.6203333333333,26.0015239377885,39.239142728878
2024,32.566,25.8413590426252,39.2906409573748
